	Trans. Date,Post Date,Description,Amount,Category
		06/30/2015,06/30/2015,"INTERNET PAYMENT - THANK YOU",-327.66,"Payments and Credits"
		06/28/2015,06/28/2015,"BIG BANANA BROOKLYN NY",37.14,"Supermarkets"
		06/28/2015,06/28/2015,"INTERNET PAYMENT - THANK YOU",-131.73,"Payments and Credits"
		06/28/2015,06/28/2015,"ZELDAS ART WORLD BROOKLYN NY",36.45,"Merchandise"
		06/27/2015,06/27/2015,"CHO 1624 CORP KINGSWAY L BROOKLYN NY",37.00,"Merchandise"
		06/27/2015,06/27/2015,"CVS/PHARMACY #02141 BROOKLYN NY",9.25,"Merchandise"
		06/27/2015,06/27/2015,"GALA APPLE INTERNATIONAL BROOKLYN NY",39.11,"Supermarkets"
		06/27/2015,06/27/2015,"SHOPRITE AVENUE I S1 BROOKLYN NY02720R",12.97,"Supermarkets"
		06/26/2015,06/26/2015,"IKEA BROOKLYN BROOKLYN NY",119.60,"Merchandise"
		06/26/2015,06/26/2015,"MTA MVM*KINGS HIGHWAY NEW YORK NY",10.00,"Travel/ Entertainment"
		06/25/2015,06/25/2015,"KINGS FARM BROOKLYN NY",14.40,"Supermarkets"
		06/25/2015,06/25/2015,"KINGS FOOD BROOKLYN NY",11.74,"Supermarkets"
		06/24/2015,06/24/2015,"MTA MVM*NEWKIRK PLAZA NEW YORK NY",4.20,"Travel/ Entertainment"
		06/24/2015,06/24/2015,"PAPA GYRO INC BROOKLYN NY",10.89,"Restaurants"
		06/23/2015,06/23/2015,"GALA APPLE INTERNATIONAL BROOKLYN NY",1.92,"Supermarkets"
		06/23/2015,06/23/2015,"GALA APPLE INTERNATIONAL BROOKLYN NY",3.43,"Supermarkets"
		06/23/2015,06/23/2015,"SHOPRITE AVENUE I S1 BROOKLYN NY02320R",4.34,"Supermarkets"
		06/21/2015,06/21/2015,"GALA APPLE INTERNATIONAL BROOKLYN NY",3.28,"Supermarkets"
		06/21/2015,06/21/2015,"GALA APPLE INTERNATIONAL BROOKLYN NY",17.24,"Supermarkets"
		06/21/2015,06/21/2015,"INTERNET PAYMENT - THANK YOU",-203.80,"Payments and Credits"
		06/21/2015,06/21/2015,"JAMBA JUICE #608 NEW YORK NY",7.28,"Restaurants"
		06/21/2015,06/21/2015,"SHOPRITE AVENUE I S1 BROOKLYN NY02129R",4.67,"Supermarkets"
		06/20/2015,06/20/2015,"EXXONMOBIL BROOKLYN NY",13.29,"Gasoline"
		06/20/2015,06/20/2015,"JFK TVM*JFK04 JAMAICA C NEW YORK NY",5.00,"Travel/ Entertainment"
		06/20/2015,06/20/2015,"JFK TVM*JFK04 JAMAICA C NEW YORK NY",10.00,"Travel/ Entertainment"
		06/20/2015,06/20/2015,"SUNOCO NORTH EAST MD",12.40,"Gasoline"
		06/19/2015,06/19/2015,"GALA APPLE INTERNATIONAL BROOKLYN NY",11.31,"Supermarkets"
		06/19/2015,06/19/2015,"JFK TVM*JFK01 HOWARD BE NEW YORK NY",5.00,"Travel/ Entertainment"
		06/19/2015,06/19/2015,"SHOPRITE AVENUE I S1 BROOKLYN NY01978R",17.48,"Supermarkets"
		06/16/2015,06/18/2015,"GALA APPLE INTERNATIONAL BROOKLYN NY",4.31,"Supermarkets"
